Over #,Ball #,Bowler Name+Cricinfo Link,Batsman Name+Cricinfo Link,Class,Outcome,Total Runs ,Delivery Length,Delivery Line,Bowling Side,Delivery Speed,Delivery Type,Shot Type ,Shot Field Position,Hit Type,Ball Type,Out type,Umpire Actions,Field Activity 1 ,Field Activity 2 ,Field Activity 3 ,Other Actions 1,Other Actions 2
13,1,Shadab Khan,Devon Conway ,Batsman,Single,1,Full Toss (<0 m),Unknown,Unknown,134,Googly,Unknown,Long On,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
13,2,Shadab Khan,Glenn Phillips,Batsman,Four,4,Short (>9 m),Outside off,Unknown,Unknown,Unknown,Cut,Point,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
13,3,Shadab Khan,Glenn Phillips,Batsman,Single,1,Full length(5-6 m),On middle stump,Unknown,125,Slower Ball,Unknown,Cover,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
13,4,Shadab Khan,Devon Conway ,Batsman,Single,1,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Back foot drive,Cover,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
13,5,Shadab Khan,Glenn Phillips,Batsman,Four,4,Unknown,Unknown,Unknown,Unknown,Unknown,Cut,Sweeper,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
13,6,Shadab Khan,Glenn Phillips,Batsman,Four,4,Unknown,Unknown,Unknown,Unknown,Unknown,Pull,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
14,1,Mohammad Hasnain,Devon Conway ,Batsman,Single,1,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Flick,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
14,2,Mohammad Hasnain,Glenn Phillips,Batsman,Single,1,Good length(6-8 m),On the stump,Unknown,125,Off Cutter,Cut,Wicket Kicper,Inside Edge ,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
14,3,Mohammad Hasnain,Devon Conway ,Batsman,Dot,0,Short (>9 m),Outside off,Unknown,144,Unknown,Cut,Unknown,Top Egde,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
14,4,Mohammad Hasnain,Devon Conway ,Batsman,Dot,0,Unknown,Unknown,Unknown,147,Unknown,Pull,Square Leg,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
14,5,Mohammad Hasnain,Devon Conway ,Batsman,Single,1,Back of a length(8-9 m),Unknown,Unknown,145,Unknown,Unknown,Mid Wicket,On the Pads,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
14,6,Mohammad Hasnain,Glenn Phillips,Batsman,Leg Bye Single,1,Good length(6-8 m),Unknown,Unknown,Unknown,Unknown,Pull,Square Leg,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
15,1,Shaheen Shah Afridi,Glenn Phillips,Batsman,Out,0,Full length(5-6 m),On middle stump,Unknown,125,Slower Ball,Unknown,Mid Wicket,Unknown,Legal,Caught,Given Out,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
15,2,Shaheen Shah Afridi,Devon Conway ,Batsman,Four,4,Half-volley(<5 m),Wide on the off side,Unknown,Unknown,Unknown,Unknown,Mid Off,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
15,3,Shaheen Shah Afridi,Devon Conway ,Batsman,Four,4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
15,4,Shaheen Shah Afridi,Devon Conway ,Batsman,Single,1,Short (>9 m),On the stump,Unknown,Unknown,Unknown,Pull,Square Leg,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
15,5,Shaheen Shah Afridi,James Neesham ,Bowler,Single,1,Back of a length(8-9 m),,Unknown,125,Off Cutter,Unknown,Third Man,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
